id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
6581791,20 mins,45 mins, 2 hrs 5 mins,,,,,,, 1 hr,,,,,,,,,,,
6588293,30 mins,40 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6601183,15 mins,55 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6580227,30 mins,50 mins, 1 hr 50 mins,,,,,,,30 mins,,,,,,,,,,,
6650108,40 mins,45 mins, 1 hr 35 mins,,,,,,,10 mins,,,,,,,,,,,
6603394,45 mins, 1 hr, 2 hrs 15 mins,,,,,,,30 mins,,,,,,,,,,,
6577530,5 mins,5 mins,10 mins,,,,,,,,,,,,,,,,,,
6591126,,,,,,,,,,,,,,,,,,,,,
6648446,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
6563672,5 mins,20 mins,25 mins,,,,,,,,,,,,,,,,,,
6584600,15 mins,15 mins,30 mins,,,,,,,,,,,,,,,,,,
6738133,15 mins,50 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6604897,10 mins,15 mins,30 mins,,,,,,,5 mins,,,,,,,,,,,
6663167,20 mins,,20 mins,,,,,,,,,,,,,,,,,,
6664999,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6738403,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
6562119,5 mins,20 mins,25 mins,,,,,,,,,,,,,,,,,,
6737708,10 mins,30 mins,40 mins,,,,,,,,,,,,,,,,,,
6738685,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
6577781,5 mins, 2 hrs, 2 hrs 5 mins,,,,,,,,,,,,,,,,,,
6597167,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6603595,10 mins,25 mins,35 mins,,,,,,,,,,,,,,,,,,
6562432,20 mins,30 mins,50 mins,,,,,,,,,,,,,,,,,,
6578436,10 mins,30 mins,40 mins,,,,,,,,,,,,,,,,,,
